Day,Month,Year,Hour,Minute,Second,AMPM,Red,IR,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,GSR
17,January,2025,10,02,20,AM,782,989,8740,-5800,12436,-8706,6421,-13135,2551
17,January,2025,10,02,21,AM,805,1056,8744,-5496,12960,254,668,62,2559
17,January,2025,10,02,22,AM,773,1010,7664,-5976,13996,-130,845,273,2545
17,January,2025,10,02,23,AM,611,795,552,-2616,16332,4447,3435,-4220,2541
17,January,2025,10,02,24,AM,818,1210,-768,-756,16920,2590,680,-1148,2544
17,January,2025,10,02,25,AM,677,886,-500,1264,16788,428,545,257,2559
17,January,2025,10,02,27,AM,821,1706,600,2228,16024,-1418,1836,-457,2559
17,January,2025,10,02,28,AM,1274,3362,256,2884,15936,-626,1620,-1394,2548
17,January,2025,10,02,29,AM,26578,32192,-92,1788,16828,223,774,78,2558
17,January,2025,10,02,30,AM,52791,100159,1108,2248,16332,751,3450,-2746,2554
17,January,2025,10,02,31,AM,717,758,180,1760,16768,183,761,84,2559
17,January,2025,10,02,32,AM,701,763,440,1748,16848,337,653,122,2544
17,January,2025,10,02,33,AM,716,769,448,1712,16796,225,724,91,2547
17,January,2025,10,02,34,AM,1182,2468,-144,1580,16756,236,595,-18,2555
17,January,2025,10,02,35,AM,1228,2761,-192,1644,16748,231,681,112,2559
17,January,2025,10,02,36,AM,1767,4200,168,1936,16796,-913,1032,-742,2544
17,January,2025,10,02,37,AM,1141,2198,-300,1676,16928,38,2338,277,2544
17,January,2025,10,02,38,AM,1012,3670,284,2688,16736,-188,1247,2514,2549
17,January,2025,10,02,39,AM,981,1780,1152,2852,18380,1185,-3270,1916,2549
17,January,2025,10,02,40,AM,1205,2716,312,2420,16688,152,776,90,2555
17,January,2025,10,02,41,AM,711,777,672,2296,16748,207,745,89,2559
17,January,2025,10,02,42,AM,704,766,700,2260,16772,187,755,97,2550
17,January,2025,10,02,44,AM,712,760,728,2252,16724,202,762,88,2539
17,January,2025,10,02,45,AM,715,800,688,2196,16736,223,773,50,2559
17,January,2025,10,02,46,AM,681,799,652,2256,16696,206,758,94,2559
17,January,2025,10,02,47,AM,693,813,664,2240,16764,219,754,113,2544
17,January,2025,10,02,48,AM,711,825,660,2228,16728,211,763,87,2557
17,January,2025,10,02,49,AM,691,727,704,2216,16700,224,733,103,2546
17,January,2025,10,02,50,AM,708,756,688,2176,16660,214,770,100,2544
17,January,2025,10,02,51,AM,695,754,644,2212,16744,242,767,100,2554
17,January,2025,10,02,52,AM,699,776,620,2220,16748,218,756,109,2544
17,January,2025,10,02,53,AM,686,791,692,2240,16708,217,731,85,2544
17,January,2025,10,02,54,AM,681,774,648,2232,16788,199,737,92,2559
17,January,2025,10,02,55,AM,709,776,644,2144,16744,199,782,86,2544
17,January,2025,10,02,56,AM,739,803,664,2264,16720,209,765,83,2555
17,January,2025,10,02,57,AM,706,742,752,2192,16708,221,758,73,2551
17,January,2025,10,02,58,AM,696,769,684,2196,16728,194,766,99,2544
17,January,2025,10,03,00,AM,706,764,692,2200,16704,198,759,103,2544
17,January,2025,10,03,01,AM,702,772,728,2216,16776,214,729,99,2547
17,January,2025,10,03,02,AM,698,788,708,2192,16724,206,740,101,2543
17,January,2025,10,03,03,AM,699,789,712,2224,16712,215,753,83,2559
17,January,2025,10,03,04,AM,683,792,648,2176,16728,206,746,73,2544
17,January,2025,10,03,05,AM,716,776,620,2212,16792,206,764,68,2555
17,January,2025,10,03,06,AM,712,823,708,2184,16708,192,772,100,2559
17,January,2025,10,03,07,AM,694,785,684,2232,16752,200,750,91,2550
17,January,2025,10,03,08,AM,691,740,648,2244,16692,230,761,101,2544
17,January,2025,10,03,09,AM,707,729,652,2204,16720,215,746,92,2543
17,January,2025,10,03,10,AM,705,778,676,2240,16744,210,754,73,2554
17,January,2025,10,03,11,AM,700,777,652,2168,16736,225,768,72,2543
17,January,2025,10,03,12,AM,700,766,628,2228,16724,217,770,99,2544
17,January,2025,10,03,13,AM,936,1788,328,2212,16784,84,1037,17,2559
17,January,2025,10,03,14,AM,1457,2601,228,2172,16752,199,747,70,2556
17,January,2025,10,03,15,AM,1464,3837,708,1396,16916,-543,650,2620,2541
17,January,2025,10,03,17,AM,1179,2895,108,2472,16532,-2263,-601,1635,2546
17,January,2025,10,03,18,AM,676,766,4904,-3160,16220,-4199,-14374,-9142,2554
17,January,2025,10,03,19,AM,859,1118,960,-316,17700,-277,2317,-916,2551
17,January,2025,10,03,20,AM,899,1478,1040,36,17264,-157,-803,-325,2559
17,January,2025,10,03,21,AM,885,1261,372,428,16396,2250,2526,-219,2559
17,January,2025,10,03,22,AM,1212,1905,1016,-1008,16756,-2906,2081,401,2559
17,January,2025,10,03,23,AM,1808,1656,2512,-1572,16924,165,371,214,2541
17,January,2025,10,03,24,AM,30340,67458,2260,440,16448,152,1821,-108,2544
17,January,2025,10,03,25,AM,666,802,3460,-1192,16596,143,595,83,2554
17,January,2025,10,03,26,AM,678,832,1904,-1172,16764,315,923,-14,2541
17,January,2025,10,03,27,AM,654,855,3640,-1348,16476,211,749,96,2559
17,January,2025,10,03,28,AM,661,850,3628,-1264,16572,213,727,102,2559
17,January,2025,10,03,29,AM,659,816,3732,-1372,16464,222,747,76,2559
17,January,2025,10,03,30,AM,663,869,3708,-1336,16504,202,757,100,2559
17,January,2025,10,03,31,AM,677,812,3720,-1376,16424,217,763,84,2544
17,January,2025,10,03,33,AM,685,870,3768,-1388,16484,190,755,77,2551
17,January,2025,10,03,34,AM,681,759,3704,-1352,16408,207,783,95,2546
17,January,2025,10,03,35,AM,692,795,3728,-1344,16508,210,752,105,2547
17,January,2025,10,03,36,AM,680,851,3704,-1376,16496,221,752,89,2544
17,January,2025,10,03,37,AM,691,843,3756,-1376,16424,202,763,95,2559
17,January,2025,10,03,38,AM,682,849,3724,-1312,16500,216,750,88,2559
17,January,2025,10,03,39,AM,672,833,3728,-1336,16464,206,770,70,2552
17,January,2025,10,03,40,AM,689,846,3740,-1332,16472,195,746,104,2544
17,January,2025,10,03,41,AM,670,799,3660,-1388,16500,194,733,103,2555
17,January,2025,10,03,42,AM,671,832,3664,-1244,16488,209,757,85,2544
17,January,2025,10,03,43,AM,659,818,3776,-1340,16492,200,749,93,2550
17,January,2025,10,03,44,AM,684,842,3740,-1320,16488,196,753,102,2544
17,January,2025,10,03,45,AM,669,845,3780,-1396,16484,206,768,71,2559
17,January,2025,10,03,46,AM,680,831,3660,-1332,16456,209,742,105,2544
17,January,2025,10,03,47,AM,680,829,3724,-1340,16460,229,741,94,2544
17,January,2025,10,03,48,AM,668,836,3724,-1364,16504,194,753,81,2550
17,January,2025,10,03,50,AM,679,820,3664,-1328,16464,205,755,94,2544
17,January,2025,10,03,51,AM,672,824,3660,-1328,16440,193,758,114,2551
17,January,2025,10,03,52,AM,682,832,3720,-1360,16492,198,754,98,2559
17,January,2025,10,03,53,AM,683,860,3720,-1376,16500,211,749,123,2559
17,January,2025,10,03,54,AM,674,862,3712,-1324,16496,215,761,111,2559
17,January,2025,10,03,55,AM,676,846,3724,-1348,16476,225,746,79,2557
17,January,2025,10,03,56,AM,684,852,3724,-1368,16468,221,759,86,2548
17,January,2025,10,03,57,AM,670,826,3716,-1352,16460,192,742,94,2551
17,January,2025,10,03,58,AM,662,855,3756,-1312,16500,209,777,97,2544
17,January,2025,10,03,59,AM,696,833,3736,-1348,16460,204,779,92,2550
17,January,2025,10,04,00,AM,701,848,3760,-1332,16512,195,766,86,2535
17,January,2025,10,04,01,AM,681,872,3736,-1384,16444,204,745,79,2543
17,January,2025,10,04,02,AM,657,813,3748,-1344,16492,221,755,104,2544
17,January,2025,10,04,03,AM,671,842,3696,-1332,16504,234,739,90,2541
17,January,2025,10,04,04,AM,694,839,3720,-1324,16428,205,765,58,2550
17,January,2025,10,04,05,AM,662,869,3768,-1332,16476,194,757,85,2543
17,January,2025,10,04,07,AM,677,879,3656,-1320,16488,202,741,97,2549
17,January,2025,10,04,08,AM,653,813,3716,-1368,16424,216,774,90,2544
17,January,2025,10,04,09,AM,683,824,3748,-1396,16484,187,758,93,2543
17,January,2025,10,04,10,AM,660,840,3748,-1336,16500,211,762,110,2544
17,January,2025,10,04,11,AM,684,831,3716,-1304,16532,204,740,97,2559
17,January,2025,10,04,12,AM,686,853,3660,-1340,16424,212,744,80,2546
17,January,2025,10,04,13,AM,665,844,3692,-1388,16428,229,782,86,2554
17,January,2025,10,04,14,AM,645,826,3744,-1340,16468,206,749,89,2552
17,January,2025,10,04,15,AM,647,853,3716,-1308,16516,221,750,74,2544
17,January,2025,10,04,16,AM,684,821,3728,-1368,16344,232,769,99,2546
17,January,2025,10,04,17,AM,657,850,3748,-1320,16372,194,757,86,2559
17,January,2025,10,04,18,AM,667,828,3676,-1372,16464,226,756,112,2559
17,January,2025,10,04,19,AM,677,851,3712,-1352,16428,190,753,84,2559
